stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,vehicle_type
1:FAUR,,Dépôt FAUR,,42.68932090,2.85134500,,,1,,0,
1:DEPOT,,Dépôt Sankeo,,42.72278640,2.89773720,,,1,,0,
1:PEEAUX,,Eaux Vives,,42.69423100,2.87186400,,,1,,0,
1:BXECOL,,Ecole de Baixas,,42.75157950,2.81040850,,,1,,0,
1:CYECOL,,Ecole de Musique,,42.67570870,2.93720910,,,1,,0,
1:CPECOZ,,Ecozonia,,42.78256440,2.77904970,,,1,,0,
1:PEELVI,,El Vivès,,42.71360650,2.90119010,,,1,,0,
1:SAEOLI,,Eolienne,,42.65546410,2.95747770,,,1,,0,
1:RIESPA,,Espace Entreprises,,42.80330270,2.89693710,,,1,,0,
1:EAESPI,,Espira de l'Agly,,42.77740990,2.82986490,,,1,,0,
1:ELESTA,,Estagel,,42.77244190,2.69940540,,,1,,0,
1:CNEURO,,Europa,,42.70165440,3.01469700,,,1,,0,
1:POEURO,,Europe,,42.63960640,2.87186930,,,1,,0,
1:EVC,,Evasion Catalane,,42.61132690,2.97831100,,,1,,0,
1:BAEVOR,,Evora,,42.70190800,2.81859890,,,1,,0,
1:CYFABR,,Fabre,,42.67674440,2.93425520,,,1,,0,
1:CCFARA,,Faratjal,,42.75781250,2.75614190,,,1,,0,
1:PEFAUC,,Fauceille,,42.66969290,2.90501900,,,1,,0,
1:PEFAUV,,Fauvelle,,42.68511580,2.86689900,,,1,,0,
1:CYFAUV,,Fauvettes,,42.68417720,2.93525490,,,1,,0,
1:RIFENO,,Fenouil,,42.77942080,2.88204530,,,1,,0,
1:MAFEST,,Festivités,,42.73031990,3.03558340,,,1,,0,
1:CNFIGA,,Figarasse,,42.69981190,3.00168420,,,1,,0,
1:PEFLAN,,Flandres Dunkerque,,42.68567470,2.90616110,,,1,,0,
1:CNFLOR,,Floralies,,42.68935010,3.03192190,,,1,,0,
1:LBFLOR,,Floride,,42.77853770,3.03013930,,,1,,0,
1:PEFORE,,Forest,,42.68638980,2.86889670,,,1,,0,
1:PEFORM,,Formation,,42.67499150,2.84917710,,,1,,0,
1:ESFORE,,Forêt,,42.71383470,2.83265900,,,1,,0,
1:PEFOSS,,Fossa,,42.69258100,2.88543340,,,1,,0,
1:ESFOUR,,Fournas,,42.71532810,2.83527330,,,1,,0,
1:PEFOUR,,Fourneyron,,42.68377870,2.86408690,,,1,,0,
1:PEFRAT,,Fraternité,,42.73045530,2.87549220,,,1,,0,
1:PEGLIO,,Gare multimodale liO,,42.69502390,2.87915010,,,1,,0,
1:PEGROU,,Gare Routière,,42.70120160,2.88780030,,,1,,0,
1:PESNCC,,Gare SNCF,,42.69605670,2.88076890,,,1,,0,
1:PESNCF,,Gare SNCF,,42.69666750,2.88014420,,,1,,0,
1:PEGAR1,,Gare TGV,,42.69611740,2.87819080,,,1,,0,
1:PEGAR2,,Gare TGV,,42.69669200,2.87822120,,,1,,0,
1:PEGARR,,Garrigole,,42.69437790,2.86817300,,,1,,0,
1:PEGAUG,,Gauguin,,42.71766050,2.88936670,,,1,,0,
1:RIGCR,,Gd Circuit du Rouss.,,42.78014880,2.90882060,,,1,,0,
1:PEGEND,,Gendarmerie,,42.69427480,2.90407010,,,1,,0,
1:CYGENE,,Genêts,,42.67465590,2.94116540,,,1,,0,
1:PEGERH,,Gerhardt,,42.67618910,2.84408100,,,1,,0,
1:CYGERM,,Germanor,,42.67329990,2.94457720,,,1,,0,
